id,label,group,pillars,title
recIbyDsi651H5NvH,Vitamin B5 (Pantothenic Acid),Metric,,<b>Vitamin B5 (Pantothenic Acid)</b><br>Group: Metric
recJ02R3Xoi71HA5u,Eccentric Impulse Asymmetry,Metric,,<b>Eccentric Impulse Asymmetry</b><br>Group: Metric
recJl5jil9st58Tfy,Hemoglobin,Metric,,<b>Hemoglobin</b><br>Group: Metric
recJoXpgWn0lsYw58,C-Peptide,Metric,,<b>C-Peptide</b><br>Group: Metric
recJsLx2nBhXqLT1w,Pelvis rotation angle,Metric,,<b>Pelvis rotation angle</b><br>Group: Metric
recK2k5DgUAhgWwPQ,Success rate in task completion,Metric,,<b>Success rate in task completion</b><br>Group: Metric
recKEnwID2Lb3ItYl,HDL Large,Metric,,<b>HDL Large</b><br>Group: Metric
recKGzxcUXRcjvcm6,IL-6 (Interleukin-6),Metric,,<b>IL-6 (Interleukin-6)</b><br>Group: Metric
recKYFk88RB3PcoMw,Bone Mineral Content (BMC),Metric,,<b>Bone Mineral Content (BMC)</b><br>Group: Metric
recKmECqmbALFUTnc,HbA1c,Metric,,<b>HbA1c</b><br>Group: Metric
recKsEr6hclTJg1Jy,Vitamin B12,Metric,,<b>Vitamin B12</b><br>Group: Metric
recLcwEKY41ui4Jn0,Heart Rate (during sleep),Metric,,<b>Heart Rate (during sleep)</b><br>Group: Metric
recLhbFTZmuzT0EZV,Lp(a) (Lipoprotein(a)),Metric,,<b>Lp(a) (Lipoprotein(a))</b><br>Group: Metric
recLiChuMDluRk5ie,UIBC (Unsaturated Iron-Binding Capacity),Metric,,<b>UIBC (Unsaturated Iron-Binding Capacity)</b><br>Group: Metric
recLpEvOrUGy6Tjid,Reverse T3,Metric,,<b>Reverse T3</b><br>Group: Metric
recLvU148dCETNhwM,Total Distance,Metric,,<b>Total Distance</b><br>Group: Metric
recM00oXy2Ku95DQk,Lifetime Risk Category,Metric,,<b>Lifetime Risk Category</b><br>Group: Metric
recMfV4e4VbPIfgtW,Omega-3 fatty acid levels (Omega-3),Metric,,<b>Omega-3 fatty acid levels (Omega-3)</b><br>Group: Metric
recN1NXDQbH1OUDV7,Rate of Perceived Exertion - RPE,Metric,,<b>Rate of Perceived Exertion - RPE</b><br>Group: Metric
recN4PZTHRA9aOObR,Glutamine:Glutamate Ratio,Metric,,<b>Glutamine:Glutamate Ratio</b><br>Group: Metric
